"Season","Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"2010","Edwin Jackson","- - -","7.78","3.35","2.32","0.90","20.1%","8.7%","11.4%",".262","1.39",".313","69.6%","105","93","92","4.47","3.86","0.61","3.71","3.83","1841"
"1959","Billy O'Dell","Orioles","3.97","3.03","1.31","0.81","10.7%","8.1%","2.5%",".215","1.15",".222","76.3%","80","103","","2.93","3.86","-0.92","","","1009724"
"1887","Gus Weyhing","Athletics","3.72","3.22","1.16","0.23","","","",".261","1.36",".288","50.1%","99","99","","4.27","3.86","0.41","","","1013820"
"1990","Kirk McCaskill","Angels","4.03","3.72","1.08","0.46","10.6%","9.8%","0.8%",".242","1.34",".263","71.0%","85","98","","3.25","3.86","-0.61","","","1008382"
"1988","Mark Langston","Mariners","8.08","3.78","2.14","1.10","21.8%","10.2%","11.6%",".230","1.27",".272","78.2%","81","94","","3.34","3.86","-0.52","","","1007323"
"1997","Mike Hampton","Astros","5.61","3.11","1.81","0.65","14.8%","8.2%","6.6%",".252","1.32",".284","69.8%","96","96","","3.83","3.86","-0.02","","","430"
"1970","Jim Kaat","Twins","4.69","2.27","2.07","1.02","12.4%","6.0%","6.4%",".268","1.31",".285","72.6%","93","96","","3.56","3.86","-0.30","","","1006660"
"1937","Tommy Bridges","Tigers","5.06","3.34","1.52","0.55","12.8%","8.5%","4.4%",".272","1.46",".304","68.2%","87","84","","4.07","3.86","0.21","","","1001421"
"1935","Hal Schumacher","Giants","2.72","2.41","1.13","0.38","7.4%","6.5%","0.8%",".235","1.17",".246","71.3%","74","98","","2.89","3.86","-0.97","","","1011648"
"2019","Clayton Kershaw","Dodgers","9.54","2.07","4.61","1.41","26.8%","5.8%","21.0%",".219","1.04",".262","84.0%","72","88","79","3.03","3.86","-0.83","3.50","3.77","2036"
"1969","Jim Merritt","Reds","5.16","2.19","2.36","1.18","13.4%","5.7%","7.7%",".267","1.31",".285","72.0%","114","104","","4.37","3.86","0.52","","","1008789"
"2012","Hiroki Kuroda","Yankees","6.84","2.09","3.27","1.02","18.7%","5.7%","13.0%",".246","1.17",".281","77.7%","79","90","89","3.32","3.86","-0.54","3.67","3.73","3283"
"1951","Preacher Roe","Dodgers","3.95","2.24","1.77","1.05","11.0%","6.2%","4.8%",".255","1.21",".263","81.8%","76","94","","3.04","3.86","-0.82","","","1011122"
"1954","Willard Nixon","Red Sox","4.60","3.92","1.17","0.72","12.0%","10.2%","1.8%",".241","1.35",".261","68.9%","102","96","","4.06","3.86","0.20","","","1009610"
"1931","Ray Kremer","Pirates","2.27","2.54","0.89","0.23","5.8%","6.5%","-0.7%",".266","1.35",".279","67.0%","87","97","","3.33","3.86","-0.53","","","1007156"
"2013","John Lackey","Red Sox","7.65","1.90","4.03","1.24","20.7%","5.1%","15.6%",".245","1.16",".281","76.9%","84","99","88","3.52","3.86","-0.34","3.49","3.48","1507"
"1958","Jim Brosnan","- - -","4.81","4.27","1.13","0.70","12.7%","11.3%","1.4%",".238","1.36",".260","77.2%","83","96","","3.35","3.86","-0.51","","","1001479"
"2000","Curt Schilling","- - -","7.19","1.93","3.73","1.16","19.5%","5.2%","14.3%",".250","1.18",".285","75.4%","81","82","","3.81","3.86","-0.05","","","73"
"1948","Howie Fox","Reds","3.32","3.26","1.02","0.58","8.6%","8.4%","0.1%",".274","1.44",".290","63.6%","114","95","","4.53","3.86","0.66","","","1004278"
"1951","Johnny Sain","- - -","3.83","2.42","1.58","0.96","9.7%","6.1%","3.6%",".291","1.46",".305","71.2%","111","100","","4.20","3.86","0.33","","","1011373"
"2015","Garrett Richards","Angels","7.64","3.30","2.32","0.87","20.4%","8.8%","11.6%",".231","1.24",".274","71.8%","94","97","94","3.65","3.86","-0.22","3.80","3.94","9784"
"1962","Joey Jay","Reds","5.11","3.30","1.55","0.86","13.3%","8.6%","4.7%",".254","1.35",".276","74.9%","94","99","","3.76","3.86","-0.10","","","1006373"
"1989","Mike Witt","Angels","5.03","1.96","2.56","1.06","13.1%","5.1%","8.0%",".284","1.36",".306","68.9%","120","100","","4.54","3.86","0.68","","","1014174"
"2007","James Shields","Devil Rays","7.70","1.51","5.11","1.17","21.1%","4.1%","16.9%",".244","1.11",".282","71.8%","86","88","82","3.85","3.86","-0.01","3.65","3.58","7059"
"2019","Eduardo Rodriguez","Red Sox","9.43","3.32","2.84","1.06","24.8%","8.7%","16.1%",".251","1.33",".317","77.7%","79","86","90","3.81","3.86","-0.06","4.10","4.31","13164"
"1936","Lon Warneke","Cubs","4.23","2.85","1.49","0.37","11.0%","7.4%","3.6%",".261","1.34",".287","69.9%","86","91","","3.45","3.86","-0.42","","","1013637"
"1896","Nig Cuppy","Spiders","2.16","1.89","1.15","0.20","","","",".278","1.29",".292","64.2%","69","86","","3.12","3.86","-0.75","","","1002884"
"1922","Ray Kolp","Browns","2.86","1.91","1.50","0.53","7.3%","4.9%","2.4%",".286","1.39",".299","66.8%","93","90","","3.93","3.86","0.06","","","1007088"
"2018","Trevor Williams","Pirates","6.64","2.90","2.29","0.79","18.0%","7.9%","10.1%",".227","1.18",".261","76.6%","79","95","112","3.11","3.86","-0.75","4.54","4.68","16977"
"1988","Pete Smith","Braves","5.71","4.05","1.41","0.69","14.8%","10.5%","4.3%",".245","1.39",".276","72.9%","102","106","","3.69","3.86","-0.18","","","1012191"
"1970","Don Wilson","Astros","4.59","3.22","1.42","0.73","11.7%","8.2%","3.5%",".256","1.38",".277","70.4%","98","102","","3.91","3.86","0.04","","","1014071"
"1992","Omar Olivares","Cardinals","5.66","2.88","1.97","0.91","15.2%","7.7%","7.5%",".252","1.28",".278","75.4%","111","110","","3.84","3.86","-0.03","","","1009771"
"1971","Mike Kekich","Yankees","4.91","4.33","1.13","0.69","12.4%","11.0%","1.5%",".252","1.46",".277","69.9%","123","114","","4.07","3.87","0.20","","","1006764"
"2009","Max Scherzer","Diamondbacks","9.19","3.33","2.76","1.06","23.5%","8.5%","15.0%",".249","1.34",".308","68.7%","93","90","90","4.12","3.87","0.26","3.82","3.69","3137"
"1942","Hal Schumacher","Giants","2.04","3.42","0.60","0.50","5.3%","8.9%","-3.6%",".247","1.34",".251","76.8%","90","110","","3.04","3.87","-0.82","","","1011648"
"1925","Lee Meadows","Pirates","3.07","2.36","1.30","0.39","8.0%","6.1%","1.8%",".267","1.33",".284","66.0%","84","89","","3.67","3.87","-0.20","","","1008705"
"1947","Johnny Vander Meer","Reds","3.82","4.21","0.91","0.53","9.7%","10.7%","-1.0%",".256","1.47",".275","66.0%","110","99","","4.40","3.87","0.54","","","1013350"
"2002","CC Sabathia","Indians","6.39","3.77","1.69","0.73","16.7%","9.9%","6.9%",".247","1.36",".285","67.6%","99","89","99","4.37","3.87","0.50","4.31","4.49","404"
"1938","Lou Fette","Bees","3.12","2.97","1.05","0.41","8.2%","7.8%","0.4%",".253","1.31",".269","73.7%","90","105","","3.15","3.87","-0.71","","","1004018"
"2015","Michael Wacha","Cardinals","7.59","2.88","2.64","0.94","20.1%","7.6%","12.5%",".232","1.21",".272","76.2%","89","101","100","3.38","3.87","-0.49","3.88","4.02","14078"
"1978","Steve Stone","White Sox","5.01","3.57","1.40","0.81","13.1%","9.4%","3.8%",".242","1.32",".263","67.5%","115","103","","4.37","3.87","0.50","","","1012573"
"1973","Rudy May","Angels","6.52","3.89","1.68","0.97","16.8%","10.0%","6.8%",".248","1.39",".280","68.5%","121","108","","4.38","3.87","0.51","","","1008310"
"1925","Art Nehf","Giants","3.66","2.90","1.26","0.41","9.2%","7.3%","1.9%",".305","1.57",".331","67.5%","91","93","","3.77","3.87","-0.09","","","1009485"
"1921","Jesse Barnes","Giants","1.95","1.53","1.27","0.45","5.2%","4.1%","1.1%",".290","1.32",".297","72.5%","83","101","","3.10","3.87","-0.77","","","1000566"
"1884","John Coleman","- - -","2.16","1.23","1.75","0.46","","","",".330","1.53",".342","42.8%","161","121","","4.72","3.87","0.85","","","1002424"
"1997","Wilson Alvarez","- - -","7.60","3.86","1.97","0.76","20.0%","10.2%","9.8%",".225","1.28",".268","71.3%","82","89","","3.48","3.87","-0.39","","","1193"
"1949","Howie Fox","Reds","2.51","3.22","0.78","0.54","6.5%","8.3%","-1.8%",".261","1.39",".269","64.1%","99","97","","3.98","3.87","0.11","","","1004278"
"1957","Ray Narleski","Indians","5.42","4.08","1.33","0.82","14.1%","10.6%","3.5%",".231","1.33",".254","76.2%","83","102","","3.09","3.87","-0.78","","","1009452"
"1887","Frank Gilmore","Nationals","4.37","3.53","1.24","0.27","","","",".272","1.44",".305","52.6%","99","99","","3.87","3.87","0.00","","","1004732"
"1984","Jeff Russell","Reds","5.00","3.22","1.55","0.74","12.8%","8.3%","4.6%",".259","1.38",".284","67.5%","114","106","","4.26","3.87","0.39","","","1011314"
"1921","Carl Mays","Yankees","1.87","2.03","0.92","0.29","5.0%","5.4%","-0.4%",".252","1.21",".260","67.7%","71","93","","3.05","3.87","-0.82","","","1008313"
"1924","Joe Shaute","Indians","2.16","2.64","0.82","0.25","5.5%","6.8%","-1.2%",".278","1.41",".291","67.9%","88","93","","3.75","3.87","-0.12","","","1011813"
"1962","Jack Kralick","Twins","5.16","2.26","2.28","1.11","13.8%","6.0%","7.7%",".252","1.24",".269","69.7%","95","93","","3.86","3.87","-0.01","","","1007135"
"1989","Tom Glavine","Braves","4.35","1.94","2.25","0.97","11.8%","5.2%","6.5%",".238","1.14",".248","67.7%","98","104","","3.68","3.87","-0.19","","","90"
"1920","Rip Collins","Yankees","3.17","3.80","0.84","0.29","8.2%","9.9%","-1.6%",".239","1.33",".257","70.6%","85","106","","3.22","3.87","-0.65","","","1002463"
"1988","Jim Deshaies","Astros","5.52","3.13","1.76","0.87","15.0%","8.5%","6.5%",".212","1.14",".230","76.7%","90","117","","3.00","3.87","-0.87","","","1003228"
"1986","Steve Trout","Cubs","3.86","4.36","0.88","0.34","9.7%","11.0%","-1.3%",".291","1.63",".320","68.7%","119","97","","4.75","3.87","0.88","","","1013197"
"1980","Dennis Eckersley","Red Sox","5.51","2.00","2.75","1.14","14.8%","5.4%","9.4%",".244","1.17",".260","66.8%","100","94","","4.28","3.87","0.41","","","1003660"
"1971","Jim Lonborg","Red Sox","5.37","3.60","1.49","0.81","13.6%","9.1%","4.5%",".255","1.40",".281","71.4%","112","103","","4.13","3.87","0.26","","","1007724"
"1891","Tony Mullane","Reds","2.62","3.95","0.66","0.32","","","",".245","1.35",".258","58.8%","96","110","","3.23","3.87","-0.64","","","1009291"
"2007","Andy Pettitte","Yankees","5.89","2.88","2.04","0.67","15.4%","7.5%","7.9%",".281","1.43",".322","70.7%","90","87","95","4.05","3.87","0.18","4.23","4.48","840"
"1958","Billy Pierce","White Sox","5.29","2.42","2.18","1.21","14.7%","6.7%","7.9%",".223","1.10",".231","83.6%","72","104","","2.68","3.87","-1.19","","","1010326"
"2003","Livan Hernandez","Expos","6.87","2.20","3.12","1.04","18.4%","5.9%","12.5%",".250","1.21",".285","78.7%","73","87","86","3.20","3.87","-0.67","3.75","3.84","1116"
"1953","Walt Masterson","Senators","5.14","3.35","1.53","0.87","13.6%","8.9%","4.7%",".229","1.24",".248","69.8%","94","100","","3.63","3.87","-0.25","","","1008230"
"1924","Tim McNamara","Braves","1.76","1.56","1.13","0.45","4.4%","3.9%","0.5%",".319","1.53",".326","59.6%","141","103","","5.18","3.87","1.31","","","1008661"
"1945","Howie Fox","Reds","2.96","4.22","0.70","0.33","7.4%","10.6%","-3.2%",".261","1.50",".278","61.6%","135","109","","4.93","3.87","1.06","","","1004278"
"1928","Ted Lyons","White Sox","2.25","2.55","0.88","0.41","5.5%","6.2%","-0.7%",".270","1.43",".278","64.4%","100","101","","3.98","3.87","0.10","","","1007887"
"1999","Chris Holt","Astros","6.31","3.13","2.02","0.66","16.0%","7.9%","8.1%",".295","1.52",".343","68.8%","108","89","","4.66","3.87","0.79","","","1005983"
"2009","Ryan Dempster","Cubs","7.74","2.93","2.65","0.99","20.4%","7.7%","12.7%",".254","1.31",".302","73.2%","84","90","88","3.65","3.87","-0.23","3.76","3.85","517"
"2006","Kevin Millwood","Rangers","6.57","2.22","2.96","0.96","17.3%","5.8%","11.5%",".268","1.31",".306","67.6%","95","84","89","4.52","3.87","0.65","4.02","4.18","106"
"1921","Bob Hasty","Athletics","2.31","2.01","1.15","0.40","5.7%","5.0%","0.8%",".313","1.55",".326","59.5%","110","90","","4.87","3.87","1.00","","","1005485"
"1973","Mike Cuellar","Orioles","4.72","2.83","1.67","0.98","12.4%","7.5%","5.0%",".254","1.31",".270","74.3%","89","105","","3.27","3.87","-0.60","","","1002853"
"2002","Al Leiter","Mets","7.58","3.04","2.49","1.01","19.8%","8.0%","11.9%",".245","1.29",".287","72.0%","88","95","91","3.48","3.87","-0.39","3.85","3.88","883"
"2016","Dallas Keuchel","Astros","7.71","2.57","3.00","1.07","20.5%","6.9%","13.7%",".258","1.29",".304","68.4%","113","92","83","4.55","3.87","0.68","3.53","3.77","9434"
"1975","Pat Dobson","Yankees","5.59","3.60","1.55","0.91","14.6%","9.4%","5.2%",".256","1.39",".282","70.9%","110","103","","4.07","3.87","0.20","","","1003345"
"2018","Derek Holland","Giants","8.88","3.52","2.52","1.00","23.3%","9.2%","14.0%",".235","1.29",".288","76.1%","93","101","100","3.57","3.87","-0.30","4.07","4.20","4141"
"1971","Dave McNally","Orioles","3.65","2.33","1.57","0.96","10.1%","6.5%","3.7%",".225","1.10",".227","81.0%","84","110","","2.89","3.87","-0.98","","","1008655"
"2001","Jeff Weaver","Tigers","5.97","2.67","2.24","0.75","15.4%","6.9%","8.5%",".260","1.32",".295","69.2%","94","90","","4.08","3.87","0.21","","","503"
"2002","Barry Zito","Athletics","7.14","3.06","2.33","0.94","19.4%","8.3%","11.1%",".214","1.13",".245","80.7%","63","89","98","2.75","3.87","-1.13","4.28","4.13","944"
"1992","Ron Darling","Athletics","4.32","3.14","1.38","0.65","11.4%","8.3%","3.1%",".251","1.31",".271","69.6%","99","100","","3.66","3.87","-0.21","","","1002989"
"1911","Bob Harmon","Cardinals","3.72","4.68","0.80","0.26","","","",".228","1.35",".251","69.6%","93","113","","3.13","3.87","-0.74","","","1005371"
"2014","Josh Collmenter","Diamondbacks","5.77","1.96","2.95","0.90","16.0%","5.4%","10.6%",".241","1.13",".267","72.5%","90","104","110","3.46","3.87","-0.41","4.07","4.18","7312"
"1933","Jumbo Elliott","Phillies","2.39","2.73","0.88","0.45","6.1%","7.0%","-0.9%",".288","1.47",".299","66.0%","102","97","","3.84","3.87","-0.03","","","1003741"
"1992","Kirk McCaskill","White Sox","4.69","4.09","1.15","0.47","12.0%","10.4%","1.5%",".238","1.38",".264","63.9%","109","99","","4.18","3.87","0.30","","","1008382"
"1962","Bob Bruce","Colt .45's","6.94","4.22","1.65","0.82","17.7%","10.7%","6.9%",".244","1.41",".285","70.5%","108","106","","4.06","3.87","0.19","","","1001573"
"1976","Joaquin Andujar","Astros","3.08","3.92","0.79","0.42","8.1%","10.3%","-2.2%",".250","1.38",".265","72.4%","110","116","","3.60","3.87","-0.27","","","1000266"
"1957","Frank Lary","Tigers","4.05","2.73","1.49","0.87","10.6%","7.1%","3.5%",".269","1.35",".284","73.9%","103","99","","3.98","3.87","0.10","","","1007364"
"1994","Kevin Tapani","Twins","5.25","2.25","2.33","0.75","13.5%","5.8%","7.7%",".288","1.41",".320","67.1%","94","82","","4.62","3.87","0.74","","","1012824"
"1946","Ken Heintzelman","Pirates","3.25","4.91","0.66","0.40","8.1%","12.2%","-4.1%",".265","1.59",".283","69.2%","107","108","","3.77","3.87","-0.11","","","1005596"
"1938","Cliff Melton","Giants","3.74","2.26","1.66","0.70","9.7%","5.9%","3.8%",".271","1.35",".287","67.0%","103","98","","3.89","3.87","0.01","","","1008755"
"2012","Ricky Nolasco","Marlins","5.89","2.21","2.66","0.85","15.0%","5.7%","9.4%",".275","1.37",".309","69.3%","115","102","107","4.48","3.87","0.60","4.17","4.31","3830"
"1923","Jim Joe Edwards","Indians","3.41","3.76","0.91","0.25","8.4%","9.3%","-0.9%",".275","1.53",".298","65.6%","92","96","","3.71","3.88","-0.16","","","1003688"
"2006","Jake Westbrook","Indians","4.64","2.34","1.98","0.64","12.1%","6.1%","6.0%",".292","1.43",".322","70.2%","92","87","89","4.17","3.88","0.30","4.00","4.09","412"
"1949","Joe Coleman","Athletics","4.08","4.76","0.86","0.45","10.3%","12.0%","-1.7%",".267","1.56",".292","71.8%","92","92","","3.86","3.88","-0.02","","","1002427"
"1890","Mark Baldwin","Pirates","3.79","4.47","0.85","0.18","","","",".261","1.49",".289","58.7%","78","93","","3.31","3.88","-0.57","","","1000484"
"1941","Johnny Podgajny","Phillies","2.63","3.47","0.76","0.40","6.7%","8.8%","-2.1%",".266","1.44",".278","66.6%","129","106","","4.62","3.88","0.74","","","1010405"
"1970","George Stone","Braves","5.69","2.17","2.62","1.17","14.7%","5.6%","9.1%",".261","1.29",".283","69.0%","92","98","","3.86","3.88","-0.01","","","1012565"
"1987","Tommy John","Yankees","3.02","2.25","1.34","0.58","7.9%","5.9%","2.0%",".283","1.38",".297","68.5%","91","87","","4.03","3.88","0.15","","","1006515"
"1932","Clint Brown","Indians","2.02","1.71","1.18","0.48","5.2%","4.4%","0.8%",".276","1.32",".282","62.9%","87","85","","4.08","3.88","0.20","","","1001504"
"1936","Al Hollingsworth","Reds","3.72","3.23","1.15","0.20","9.4%","8.2%","1.2%",".276","1.47",".304","66.1%","107","94","","4.16","3.88","0.28","","","1005955"
"1939","Hugh Casey","Dodgers","3.13","2.14","1.46","0.51","8.2%","5.6%","2.6%",".254","1.24",".267","74.6%","73","92","","2.93","3.88","-0.95","","","1002039"
"1977","Ed Figueroa","Yankees","3.91","2.82","1.39","0.71","10.4%","7.5%","2.9%",".248","1.27",".262","73.0%","90","96","","3.57","3.88","-0.31","","","1004037"
"2014","Mike Leake","Reds","6.89","2.10","3.28","0.97","18.2%","5.5%","12.6%",".259","1.25",".298","75.5%","100","102","95","3.70","3.88","-0.18","3.49","3.51","10130"
"1890","John Keefe","Stars","3.07","3.78","0.81","0.23","","","",".263","1.43",".284","56.4%","118","115","","4.32","3.88","0.44","","","1006742"
"1921","Duster Mails","Indians","4.03","4.12","0.98","0.19","10.1%","10.3%","-0.2%",".273","1.54",".303","67.0%","91","92","","3.94","3.88","0.06","","","1007998"
"1953","Mickey McDermott","Red Sox","4.01","4.75","0.84","0.39","10.5%","12.4%","-1.9%",".221","1.35",".241","74.1%","70","89","","3.01","3.88","-0.87","","","1008448"
"1997","Kirk Rueter","Giants","5.43","2.41","2.25","0.80","14.3%","6.4%","8.0%",".259","1.28",".286","73.4%","86","93","","3.45","3.88","-0.43","","","1128"
"1947","Phil Marchildon","Athletics","4.16","4.59","0.91","0.49","10.9%","12.0%","-1.1%",".223","1.33",".242","74.9%","87","103","","3.22","3.88","-0.66","","","1008102"
"2005","Jason Schmidt","Giants","8.63","4.45","1.94","0.84","21.8%","11.2%","10.6%",".240","1.42",".296","70.3%","104","94","100","4.40","3.88","0.51","4.25","4.18","1131"
"1984","Bob Ojeda","Red Sox","5.69","3.99","1.43","0.71","14.8%","10.3%","4.4%",".254","1.42",".287","71.2%","96","98","","3.99","3.88","0.11","","","1009756"
"1944","Ewald Pyle","Giants","4.34","3.73","1.16","0.66","11.1%","9.5%","1.5%",".238","1.34",".255","65.5%","118","105","","4.34","3.88","0.45","","","1010582"
"1989","Mike Flanagan","Blue Jays","2.46","2.46","1.00","0.52","6.5%","6.5%","0.0%",".276","1.36",".285","69.6%","100","99","","3.93","3.88","0.05","","","1004133"
"1959","Bob Buhl","Braves","4.77","3.36","1.42","0.86","12.6%","8.9%","3.7%",".239","1.29",".256","78.6%","80","110","","2.86","3.88","-1.02","","","1001637"
"1925","Howard Ehmke","Red Sox","3.28","2.93","1.12","0.28","8.4%","7.5%","0.9%",".275","1.42",".296","64.9%","84","88","","3.73","3.88","-0.15","","","1003707"
"1935","Danny MacFayden","- - -","2.83","2.25","1.26","0.43","7.0%","5.6%","1.4%",".303","1.52",".319","62.1%","134","102","","5.04","3.88","1.15","","","1007904"
"2004","David Wells","Padres","4.65","0.92","5.05","1.06","12.6%","2.5%","10.1%",".260","1.14",".274","72.6%","94","92","89","3.73","3.88","-0.16","3.94","4.26","855"
"1937","Mel Harder","Indians","3.66","3.31","1.10","0.35","9.2%","8.3%","0.9%",".284","1.52",".308","67.0%","94","87","","4.28","3.88","0.39","","","1005339"
"1957","Early Wynn","Indians","6.30","3.56","1.77","1.10","16.1%","9.1%","7.0%",".260","1.42",".290","71.8%","115","102","","4.31","3.88","0.43","","","1014309"
"1964","Bob Buhl","Cubs","4.23","2.69","1.57","0.87","11.4%","7.2%","4.1%",".239","1.21",".251","71.1%","104","109","","3.83","3.88","-0.05","","","1001637"
"1964","Galen Cisco","Mets","3.66","2.54","1.44","0.80","9.9%","6.9%","3.1%",".250","1.23",".261","72.0%","103","115","","3.62","3.88","-0.27","","","1002246"
"1976","Bill Singer","- - -","3.69","3.65","1.01","0.49","9.6%","9.5%","0.1%",".258","1.39",".277","68.7%","104","110","","3.69","3.88","-0.19","","","1012007"
"1898","Brickyard Kennedy","Bridegrooms","1.94","3.26","0.59","0.32","","","",".273","1.42",".282","64.7%","93","108","","3.37","3.88","-0.51","","","1006836"
"2009","Randy Wells","Cubs","5.66","2.50","2.26","0.76","15.0%","6.6%","8.4%",".257","1.28",".288","76.0%","70","90","99","3.05","3.88","-0.83","4.18","4.33","4535"
"2017","Trevor Bauer","Indians","10.00","3.06","3.27","1.28","26.2%","8.0%","18.2%",".265","1.37",".337","76.8%","92","88","82","4.19","3.88","0.30","3.60","3.80","12703"
"1889","Park Swartzel","Cowboys","3.22","2.57","1.26","0.46","","","",".294","1.46",".313","46.4%","106","98","","4.32","3.88","0.44","","","1012768"
"1964","Bob Hendley","Giants","5.73","3.25","1.76","0.99","14.9%","8.5%","6.5%",".254","1.35",".279","76.7%","103","114","","3.64","3.88","-0.25","","","1005637"
"1979","Dennis Martinez","Orioles","4.06","2.40","1.69","0.86","11.0%","6.5%","4.5%",".248","1.22",".260","71.8%","91","94","","3.66","3.88","-0.22","","","1008161"
"1989","Kevin Gross","Expos","7.06","3.93","1.80","0.89","18.2%","10.2%","8.1%",".243","1.37",".282","69.7%","126","109","","4.38","3.89","0.50","","","1005088"
"1933","Lloyd Brown","- - -","1.96","3.60","0.54","0.22","4.8%","8.9%","-4.1%",".286","1.57",".298","61.1%","105","94","","4.63","3.89","0.74","","","1001540"
"1887","Hugh Daily","Blues","1.93","2.84","0.68","0.06","","","",".315","1.61",".331","53.0%","86","97","","3.67","3.89","-0.21","","","1002934"
"2003","Wade Miller","Astros","7.73","3.70","2.09","0.82","20.2%","9.7%","10.5%",".237","1.31",".284","68.8%","95","89","94","4.13","3.89","0.25","4.09","4.13","568"
"2004","Jeff Weaver","Dodgers","6.26","2.74","2.28","0.78","16.4%","7.2%","9.2%",".256","1.30",".293","72.1%","96","88","101","4.01","3.89","0.12","4.47","4.48","503"
"1956","Tom Poholsky","Cardinals","4.21","1.95","2.16","1.20","11.2%","5.2%","6.0%",".263","1.25",".271","71.9%","93","98","","3.59","3.89","-0.29","","","1010412"
"1970","Joe Horlen","White Sox","4.02","2.14","1.88","0.94","10.4%","5.5%","4.9%",".284","1.39",".299","66.1%","125","95","","4.86","3.89","0.97","","","1006025"
"1923","Hugh McQuillan","Giants","2.94","2.59","1.14","0.47","7.8%","6.9%","0.9%",".252","1.26",".264","71.5%","88","101","","3.41","3.89","-0.48","","","1008685"
"1970","Jim Nash","Braves","6.49","3.81","1.70","0.93","16.4%","9.6%","6.7%",".251","1.42",".284","73.0%","97","98","","4.07","3.89","0.18","","","1009458"
"1933","Freddie Fitzsimmons","Giants","2.32","2.57","0.90","0.50","6.2%","6.8%","-0.7%",".248","1.25",".254","71.0%","90","114","","2.90","3.89","-0.99","","","1004122"
"2001","Chan Ho Park","Dodgers","8.38","3.50","2.40","0.88","22.2%","9.3%","13.0%",".210","1.17",".254","74.9%","85","89","","3.50","3.89","-0.39","","","1267"
"1943","Ray Starr","Reds","1.74","3.77","0.46","0.37","4.6%","9.9%","-5.3%",".243","1.34",".247","71.7%","112","121","","3.64","3.89","-0.24","","","1012435"
"2009","Matt Cain","Giants","7.07","3.02","2.34","0.91","19.3%","8.2%","11.1%",".227","1.18",".263","81.6%","70","94","98","2.89","3.89","-0.99","4.16","4.19","4732"
"1925","Virgil Barnes","Giants","2.15","2.15","1.00","0.37","5.7%","5.7%","0.0%",".275","1.33",".285","65.6%","85","94","","3.53","3.89","-0.36","","","1000576"
"1948","Ellis Kinder","Red Sox","2.68","3.19","0.84","0.51","7.0%","8.3%","-1.3%",".263","1.38",".273","70.1%","82","87","","3.74","3.89","-0.15","","","1006922"
"1924","Jack Quinn","Red Sox","2.52","2.05","1.23","0.39","6.5%","5.3%","1.2%",".263","1.28",".274","68.0%","77","93","","3.27","3.89","-0.62","","","1010605"
"2006","Brad Penny","Dodgers","7.05","2.57","2.74","0.90","18.2%","6.6%","11.6%",".275","1.38",".321","72.2%","98","86","92","4.33","3.89","0.45","4.17","4.20","535"
"1923","Sam Jones","Yankees","2.52","2.56","0.99","0.41","6.6%","6.7%","-0.1%",".252","1.27",".262","67.0%","93","99","","3.63","3.89","-0.26","","","1006589"
"2003","Greg Maddux","Braves","5.11","1.36","3.76","0.99","13.8%","3.7%","10.1%",".262","1.18",".282","66.3%","92","90","85","3.96","3.89","0.07","3.69","3.88","104"
"2013","Travis Wood","Cubs","6.48","2.97","2.18","0.81","17.5%","8.0%","9.5%",".218","1.15",".248","77.4%","83","103","120","3.11","3.89","-0.78","4.50","4.43","9884"
"1983","Neil Allen","- - -","5.43","4.30","1.26","0.61","13.9%","11.0%","2.9%",".264","1.50",".299","72.8%","110","107","","3.94","3.89","0.06","","","1000154"
"1973","Vida Blue","Athletics","5.39","3.58","1.50","0.89","14.6%","9.7%","4.9%",".220","1.21",".238","75.0%","91","108","","3.28","3.89","-0.61","","","1001094"
"1938","Spud Chandler","Yankees","1.88","2.46","0.77","0.37","4.9%","6.4%","-1.5%",".266","1.34",".273","65.7%","88","89","","4.03","3.89","0.14","","","1002133"
"1935","Bill Lee","Cubs","3.57","3.00","1.19","0.39","9.5%","7.9%","1.5%",".249","1.29",".268","71.2%","75","97","","2.96","3.89","-0.93","","","1007447"
"2010","Derek Lowe","Braves","6.32","2.83","2.23","0.84","16.5%","7.4%","9.1%",".269","1.37",".307","74.2%","100","98","89","4.00","3.89","0.11","3.54","3.65","199"
"1927","Earl Whitehill","Tigers","3.62","4.00","0.90","0.15","9.2%","10.1%","-1.0%",".258","1.45",".284","69.9%","80","94","","3.36","3.89","-0.53","","","1013866"
"2005","Noah Lowry","Giants","7.56","3.34","2.26","0.92","19.7%","8.7%","11.0%",".244","1.31",".287","74.6%","89","94","97","3.78","3.89","-0.11","4.15","4.09","1833"
"1959","Dick Donovan","White Sox","3.56","2.91","1.22","0.75","9.2%","7.6%","1.7%",".243","1.27",".252","70.4%","97","101","","3.66","3.89","-0.23","","","1003395"
"1990","Jim Abbott","Angels","4.46","3.06","1.46","0.68","11.4%","7.8%","3.6%",".290","1.50",".316","68.9%","117","99","","4.51","3.89","0.62","","","1000012"
"1985","Moose Haas","Brewers","4.34","1.39","3.12","1.17","11.7%","3.8%","8.0%",".258","1.18",".266","65.6%","94","97","","3.84","3.89","-0.05","","","1005172"
