"Season","Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"1914","Doc Ayers","Senators","5.02","1.83","2.74","0.17","","","",".228","1.04",".265","64.1%","93","79","","2.54","2.18","0.37","","","1000387"
"1904","Jesse Tannehill","Americans","3.71","1.05","3.52","0.16","","","",".244","1.03",".270","72.4%","77","92","","2.04","2.18","-0.13","","","1012822"
"1913","Eddie Plank","Athletics","5.60","2.11","2.65","0.11","","","",".236","1.10",".281","70.4%","91","77","","2.60","2.18","0.42","","","1010385"
"1990","Roger Clemens","Red Sox","8.24","2.13","3.87","0.28","22.7%","5.9%","16.9%",".225","1.08",".289","79.9%","47","55","","1.93","2.18","-0.25","","","815"
"1878","Terry Larkin","White Stockings","2.90","0.55","5.26","0.07","","","",".264","1.07",".286","47.4%","95","92","","2.24","2.18","0.06","","","1007352"
"1875","George Bechtel","- - -","1.33","0.33","4.00","0.00","","","",".320","1.36",".332","29.0%","145","89","","3.56","2.18","1.37","","","1000737"
"1908","Tully Sparks","Phillies","2.91","1.74","1.67","0.10","","","",".253","1.15",".274","69.3%","112","92","","2.60","2.18","0.41","","","1012306"
"1876","Candy Cummings","Dark Blues","1.08","0.58","1.86","0.00","","","",".261","1.06",".269","57.6%","69","91","","1.67","2.19","-0.52","","","1002872"
"1978","Ron Guidry","Yankees","8.16","2.37","3.44","0.43","23.5%","6.8%","16.7%",".190","0.95",".241","82.3%","47","58","","1.74","2.19","-0.45","","","1005124"
"1909","Ed Summers","Tigers","3.42","1.66","2.06","0.13","","","",".234","1.05",".258","71.5%","87","92","","2.24","2.19","0.04","","","1012719"
"1907","Frank Corridon","Phillies","4.30","2.92","1.47","0.00","","","",".228","1.16",".262","67.2%","100","86","","2.46","2.20","0.27","","","1002640"
"1971","Vida Blue","Athletics","8.68","2.54","3.42","0.55","24.9%","7.3%","17.7%",".187","0.95",".239","83.1%","56","65","","1.82","2.20","-0.38","","","1001094"
"2011","Roy Halladay","Phillies","8.47","1.35","6.29","0.39","23.6%","3.8%","19.8%",".233","1.04",".298","78.1%","61","56","70","2.35","2.20","0.15","2.71","2.78","1303"
"1904","Bill Bernhard","Naps","3.85","1.54","2.49","0.08","","","",".263","1.18",".294","72.8%","83","91","","2.13","2.20","-0.07","","","1000891"
"1910","Hippo Vaughn","Highlanders","4.34","2.35","1.84","0.04","","","",".233","1.12",".267","70.9%","69","86","","1.83","2.20","-0.37","","","1013384"
"1880","Tim Keefe","Trojans","3.69","1.46","2.53","0.00","","","",".193","0.84",".219","69.3%","35","89","","0.86","2.20","-1.34","","","1006743"
"1968","Dean Chance","Twins","7.21","1.94","3.71","0.46","20.2%","5.4%","14.7%",".206","0.98",".249","72.8%","82","66","","2.53","2.20","0.33","","","1002130"
"1906","Jack Chesbro","Highlanders","4.21","2.08","2.03","0.06","","","",".255","1.20",".290","65.9%","102","83","","2.96","2.20","0.76","","","1002179"
